Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
6, 0, 0.0, 0, 7.874418604651162, 1617.5, 0.43539210383991345
12, 14.774284110050534, 0.0, 19.173083780033863, 22.788874680306904, 1617.5, 2.625630702965051
25, 3.201656297233646, 0.0, 157.1360158162069, 76.6899954623198, 1617.5, 3.3305228978117953
50, 8.975549748743719, 0.0, 1295.2325499239053, 210.7, 1617.5, 33.80999999999997
100, 26.62270351758794, 0.0, 10736.825763947265, 590.5, 1617.5, 67.85
200, 80.89311859296483, 0.0, 93978.12583365114, 1618.6, 1617.5, 328.8399999999997
