Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
6, 0, 0.0, 0, 8.010471204188482, 1617.5, 0.24072805021792157
12, 15.221978897073463, 0.0, 20.724963872140773, 23.120729178037333, 1617.5, 2.506983247362811
25, 11.583630844262945, 0.0, 509.4988151742501, 76.48167796242745, 1617.5, 0.8453033348713587
50, 14.191389660603058, 0.0, 1903.7126986802168, 210.07077053031702, 1617.5, 32.82678943611162
100, 41.45901005025126, 0.0, 15417.5526876632, 590.5, 1617.5, 67.85
200, 141.5659567839196, 0.0, 132568.17061050647, 1618.6, 1617.5, 328.8399999999997
