Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
6, 0, 0.0, 0, 15.0, 4950.0, 0.0
12, 44.88976674191121, 0.0, 137.27942123979682, 66.0, 4950.0, 0.0
25, 12.595234952645878, 0.0, 2438.5455755650232, 300.0, 4950.0, 0.0
50, 57.41859396984925, 0.0, 45688.86931074663, 1225.0, 4950.0, 0.0
100, 287.6787768844221, 0.0, 952304.2299624424, 4950.0, 4950.0, 0.0
