Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
9, 7.342723004694836, 26.0, 6.694747514822897, 12.0, 3120.0, 0.0
16, 16.64631113567284, 26.0, 17.87614762466461, 24.0, 3120.0, 0.0
25, 27.803917353397825, 26.0, 58.18238045035334, 40.0, 3120.0, 0.0
49, 7.300314101242128, 26.0, 371.33757450038513, 84.0, 3120.0, 0.0
100, 11.818518592964825, 26.0, 1338.790139875785, 180.0, 3120.0, 0.0
196, 30.692130653266332, 26.0, 6696.440639580917, 364.0, 3120.0, 0.0
400, 72.71511457286432, 26.0, 29266.07153275572, 760.0, 3120.0, 0.0
784, 169.1136814070352, 26.0, 128280.00926849755, 1512.0, 3120.0, 0.0
1600, 390.76353165829147, 26.0, 535117.3470475476, 3120.0, 3120.0, 0.0
