Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
6, 0, 0.0, 0, 15.0, 4950.0, 0.0
12, 43.63242413508088, 0.0, 146.21073755254537, 66.0, 4950.0, 0.0
25, 29.551032430728306, 0.0, 4991.822480202371, 300.0, 4950.0, 0.0
50, 87.33027355115611, 0.0, 68350.94256164599, 1225.0, 4950.0, 0.0
100, 348.17563718592965, 0.0, 1083647.5054601207, 4950.0, 4950.0, 0.0
