Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
9, 0, 0.0, 0, 12.0, 3120.0, 0.0
16, 16.045144804088586, 0.0, 20.879301220677696, 24.0, 3120.0, 0.0
25, 27.589936106939906, 0.0, 60.92736331187916, 40.0, 3120.0, 0.0
49, 5.483174960099407, 0.0, 279.9118385581378, 84.0, 3120.0, 0.0
100, 10.961717587939699, 0.0, 1240.11426611522, 180.0, 3120.0, 0.0
196, 27.384315577889446, 0.0, 6030.979937717503, 364.0, 3120.0, 0.0
400, 63.40268743718593, 0.0, 27984.184797601858, 760.0, 3120.0, 0.0
784, 123.96281105527638, 0.0, 107226.47306421847, 1512.0, 3120.0, 0.0
1600, 291.6712271356784, 0.0, 498824.3147274987, 3120.0, 3120.0, 0.0
