Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
10, 13.127147766323024, 0.0, 13.416823136240717, 21.0, 351.0, 0.0
20, 6.133373138461272, 0.0, 121.17961908064774, 43.0, 351.0, 0.0
40, 4.248541919738315, 0.0, 244.85585243859342, 87.0, 351.0, 0.0
80, 10.224941708542714, 0.0, 1142.2626203232358, 175.0, 351.0, 0.0
160, 18.29603417085427, 0.0, 4473.9885567345045, 351.0, 351.0, 0.0
