Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
6, 0, 0.0, 0, 7.65748031496063, 1617.5, 0.23307396614793227
12, 15.067610903260288, 0.0, 19.699597659400098, 23.262047440699128, 1617.5, 1.8518055458142983
25, 4.008373677808292, 0.0, 200.53013180148932, 76.79676804582924, 1617.5, 1.3091033043735663
50, 10.352204020100503, 0.0, 1419.60545685084, 210.7, 1617.5, 33.80999999999997
100, 35.8966824120603, 0.0, 14297.954532511229, 590.5, 1617.5, 67.85
200, 106.11652261306533, 0.0, 108087.23135715404, 1618.6, 1617.5, 328.8399999999997
