Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
9, 7.5, 0.0, 6.87303664921466, 12.0, 3120.0, 0.0
16, 16.593626977642426, 0.0, 18.407318814133678, 24.0, 3120.0, 0.0
25, 26.619429959706093, 0.0, 70.82307945699291, 40.0, 3120.0, 0.0
49, 4.995761490836148, 0.0, 276.43956159731204, 84.0, 3120.0, 0.0
100, 9.994652261306532, 0.0, 1112.101624668022, 180.0, 3120.0, 0.0
196, 23.573886432160805, 0.0, 5283.9142955690095, 364.0, 3120.0, 0.0
400, 53.203966834170856, 0.0, 24222.15108798279, 760.0, 3120.0, 0.0
784, 105.35737587939698, 0.0, 94041.93632971705, 1512.0, 3120.0, 0.0
1600, 250.36653266331658, 0.0, 447842.94257038995, 3120.0, 3120.0, 0.0
