Number of vertices, Average number of edges evaluated, Median number of edges evaluated, Variance of number of edges evaluated, Standard average number of edges evaluated, Standard median number of edges evaluated, Standard variance of number of edges evaluated
10, 12.883435582822086, 0.0, 13.990093718243063, 21.0, 351.0, 0.0
20, 29.200820902993293, 0.0, 67.48209563205482, 43.0, 351.0, 0.0
40, 5.572398633975559, 0.0, 294.6386898146922, 87.0, 351.0, 0.0
80, 12.429727638190954, 0.0, 1372.0050718454168, 175.0, 351.0, 0.0
160, 27.105072361809047, 0.0, 5636.544381909336, 351.0, 351.0, 0.0
