Number of vertices, Average number of edges evaluated, Variance of number of edges evaluated
6, nan, nan
12, 43.73772130211308, 155.6383772175873
25, 12.318225881019492, 2489.6071122269063
50, 59.51633567839196, 48866.40426178875
100, 278.33058994974874, 926938.3952439527
