instance number_vertices number_edges population_size runtime num_success/num_runs num_evaluations_10_percentile num_evaluations_50_percentile num_evaluations_90_percentile
n0000009i08.txt 9 12 500 0.1834278106689453 1.0 32.900000000000006 270.0 555.1000000000001
n0000009i05.txt 9 12 500 0.16525697708129883 1.0 71.00000000000001 244.0 486.6
n0000009i02.txt 9 12 500 0.1629648208618164 1.0 34.20000000000001 224.0 377.3
n0000009i01.txt 9 12 500 0.19872593879699707 1.0 26.5 138.0 843.4000000000003
n0000009i06.txt 9 12 500 0.18485307693481445 1.0 48.400000000000006 183.0 581.9
n0000009i03.txt 9 12 500 0.16426610946655273 1.0 24.600000000000005 184.5 448.80000000000007
n0000009i09.txt 9 12 500 0.18016314506530762 1.0 19.9 152.0 791.4000000000001
n0000009i07.txt 9 12 500 0.17518115043640137 1.0 22.700000000000003 133.0 472.1000000000007
n0000009i00.txt 9 12 500 0.17830586433410645 1.0 18.1 209.5 586.8000000000004
n0000009i04.txt 9 12 500 0.1622610092163086 1.0 27.400000000000002 152.5 415.9000000000002
